crate/cratesio/-/minimal-lexical/0.2.1, Apache-2.0 OR MIT, approved, #9755
crate/cratesio/-/mio/1.2.3, MIT, approved, #27014
crate/cratesio/-/multiversion-macros/0.9.0, , restricted, clearlydefined
crate/cratesio/-/multiversion/0.9.0, , restricted, clearlydefined
crate/cratesio/-/multiversion_no_op/1.0.0, , restricted, clearlydefined
crate/cratesio/-/murmur3/0.4.1, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/native-tls/0.2.18, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/nix/0.31.3, MIT AND (GPL-2.0-or-later OR MIT), approved, #26914
crate/cratesio/-/nom/7.1.3, MIT AND CC0-1.0, approved, #9761
crate/cratesio/-/notify-types/2.1.0, Apache-2.0 AND MIT AND (Apache-2.0 AND CC0-1.0 AND MIT), approved, #31123
crate/cratesio/-/notify/8.2.0, (Apache-2.0 AND CC0-1.0 AND MIT), approved, #31159
crate/cratesio/-/nu-ansi-term/0.50.3, MIT, approved, #24623
crate/cratesio/-/num-bigint-dig/0.8.6, Apache-2.0 AND LGPL-3.0-or-later AND MIT, approved, #16985
crate/cratesio/-/num-bigint/0.4.8, Apache-2.0 or MIT, approved, #11390
crate/cratesio/-/num-complex/0.4.6, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/num-conv/0.2.2, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #26786
crate/cratesio/-/num-integer/0.1.47, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #30214
crate/cratesio/-/num-iter/0.1.46, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #30072
crate/cratesio/-/num-rational/0.4.2, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/num-traits/0.2.19, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/num/0.4.3, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/num_cpus/1.17.0, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/once_cell/1.21.4, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #20275
crate/cratesio/-/openssl-macros/0.1.1, Apache-2.0 AND MIT, approved, #31136
crate/cratesio/-/openssl-probe/0.1.6, Apache-2.0 AND MIT, approved, #16606
crate/cratesio/-/openssl-probe/0.2.1, Apache-2.0 AND MIT AND OpenSSL AND LicenseRef-BSD-style, approved, #27067
crate/cratesio/-/openssl-sys/0.9.117, MIT AND (Apache-2.0 AND MIT), approved, #9757
crate/cratesio/-/openssl/0.10.81, (Apache-2.0 AND MIT), approved, #31127
crate/cratesio/-/ordered-multimap/0.7.3, MIT, approved, clearlydefined
crate/cratesio/-/outref/0.5.2, MIT, approved, #18875
crate/cratesio/-/p256/0.13.2, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #22480
crate/cratesio/-/p384/0.13.1, Apache-2.0 OR MIT OR BSD-1-Clause, approved, #26889
crate/cratesio/-/parking/2.2.1, Apache-2.0 OR MIT, approved, clearlydefined
crate/cratesio/-/parking_lot/0.12.5, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/parking_lot_core/0.9.12, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/parse-display-derive/0.9.1, Apache-2.0 AND MIT AND Apache-2.0 WITH LLVM-exception AND MIT, approved, #31161
crate/cratesio/-/parse-display/0.9.1, Apache-2.0 AND MIT AND Apache-2.0 WITH LLVM-exception, approved, #31111
crate/cratesio/-/pastey/0.2.3, Apache-2.0 AND MIT, approved, #31155
crate/cratesio/-/pathdiff/0.2.3, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/pbkdf2/0.12.2, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/pem-rfc7468/0.7.0, Apache-2.0 OR MIT, approved, clearlydefined
crate/cratesio/-/pem/3.0.6, MIT, approved, clearlydefined
crate/cratesio/-/percent-encoding/2.3.2, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/pest/2.9.1, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #30224
crate/cratesio/-/pest_derive/2.9.1, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #30219
crate/cratesio/-/pest_generator/2.9.1, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #30225
crate/cratesio/-/pest_meta/2.9.1, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #30228
crate/cratesio/-/petgraph/0.7.1, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #21875
crate/cratesio/-/pin-project-internal/1.1.13, Apache-2.0 AND MIT AND Apache-2.0 AND MIT AND (Apache-2.0 OR MIT), approved, #20260
crate/cratesio/-/pin-project-lite/0.2.17, Apache-2.0 or MIT, approved, #14202
crate/cratesio/-/pin-project/1.1.13, Apache-2.0 AND MIT AND Apache-2.0 AND MIT AND (Apache-2.0 OR MIT), approved, #17307
crate/cratesio/-/pin-utils/0.1.0, Apache-2.0 OR MIT, approved, clearlydefined
crate/cratesio/-/pingora-cache/0.9.0, , restricted, clearlydefined
crate/cratesio/-/pingora-core/0.9.0, , restricted, clearlydefined
crate/cratesio/-/pingora-error/0.9.0, , restricted, clearlydefined
crate/cratesio/-/pingora-header-serde/0.9.0, , restricted, clearlydefined
crate/cratesio/-/pingora-http/0.9.0, , restricted, clearlydefined
crate/cratesio/-/pingora-lru/0.9.0, , restricted, clearlydefined
crate/cratesio/-/pingora-pool/0.9.0, , restricted, clearlydefined
crate/cratesio/-/pingora-proxy/0.9.0, , restricted, clearlydefined
crate/cratesio/-/pingora-runtime/0.9.0, , restricted, clearlydefined
crate/cratesio/-/pingora-timeout/0.9.0, , restricted, clearlydefined
crate/cratesio/-/pingora/0.9.0, , restricted, clearlydefined
crate/cratesio/-/pkcs1/0.7.5, Apache-2.0 OR MIT, approved, clearlydefined
